var,qam4,qam16,qam64
0.01,0,0,0.00833333
0.014975,0,0.000833333,0.025
0.01995,0,0.000833333,0.0391667
0.024925,0,0.00166667,0.0516667
0.0299,0,0.00333333,0.06
0.034875,0,0.00583333,0.0741667
0.03985,0,0.00833333,0.0841667
0.044825,0,0.0116667,0.0958333
0.0498,0,0.0141667,0.105
0.054775,0,0.0208333,0.1125
0.05975,0,0.0266667,0.119167
0.064725,0,0.0308333,0.121667
0.0697,0,0.0325,0.125833
0.074675,0.000833333,0.0383333,0.1325
0.07965,0.000833333,0.0416667,0.135833
0.084625,0.000833333,0.0466667,0.140833
0.0896,0.000833333,0.0533333,0.148333
0.094575,0.000833333,0.0583333,0.1525
0.09955,0.000833333,0.0625,0.156667
0.104525,0.000833333,0.0666667,0.159167
0.1095,0.000833333,0.0691667,0.164167
0.114475,0.00166667,0.0733333,0.1675
0.11945,0.0025,0.0758333,0.17
0.124425,0.00333333,0.0783333,0.1725
0.1294,0.00333333,0.0808333,0.175833
0.134375,0.00333333,0.0833333,0.176667
0.13935,0.00333333,0.0875,0.180833
0.144325,0.00416667,0.0916667,0.185
0.1493,0.00416667,0.0958333,0.186667
0.154275,0.00416667,0.0983333,0.190833
0.15925,0.00583333,0.101667,0.194167
0.164225,0.00833333,0.104167,0.195833
0.1692,0.00916667,0.108333,0.1975
0.174175,0.00916667,0.113333,0.200833
0.17915,0.0108333,0.114167,0.205
0.184125,0.0108333,0.1175,0.205833
0.1891,0.0108333,0.121667,0.208333
0.194075,0.0108333,0.126667,0.2125
0.19905,0.0116667,0.129167,0.216667
0.204025,0.015,0.1325,0.219167
0.209,0.015,0.134167,0.220833
0.213975,0.0158333,0.136667,0.2225
0.21895,0.0158333,0.138333,0.225833
0.223925,0.0166667,0.14,0.2275
0.2289,0.0166667,0.1425,0.2275
0.233875,0.0175,0.143333,0.228333
0.23885,0.0175,0.145,0.23
0.243825,0.0175,0.145,0.230833
0.2488,0.02,0.146667,0.233333
0.253775,0.0216667,0.1475,0.235
0.25875,0.0225,0.148333,0.235833
0.263725,0.0233333,0.15,0.239167
0.2687,0.0241667,0.151667,0.240833
0.273675,0.0258333,0.1525,0.243333
0.27865,0.0283333,0.1525,0.244167
0.283625,0.0283333,0.1525,0.245
0.2886,0.0291667,0.155,0.246667
0.293575,0.0316667,0.159167,0.25
0.29855,0.0316667,0.161667,0.250833
0.303525,0.0333333,0.166667,0.253333
0.3085,0.035,0.168333,0.255833
0.313475,0.0366667,0.170833,0.259167
0.31845,0.0375,0.174167,0.259167
0.323425,0.0383333,0.175833,0.260833
0.3284,0.0383333,0.1775,0.263333
0.333375,0.0391667,0.178333,0.265
0.33835,0.0391667,0.179167,0.265833
0.343325,0.04,0.18,0.269167
0.3483,0.0416667,0.181667,0.2725
0.353275,0.0433333,0.183333,0.275
0.35825,0.0458333,0.185833,0.275833
0.363225,0.0458333,0.188333,0.2775
0.3682,0.0475,0.189167,0.2775
0.373175,0.0491667,0.190833,0.28
0.37815,0.05,0.190833,0.279167
0.383125,0.05,0.190833,0.280833
0.3881,0.05,0.194167,0.284167
0.393075,0.0516667,0.195,0.284167
0.39805,0.0533333,0.195,0.285
0.403025,0.055,0.195833,0.286667
0.408,0.0566667,0.196667,0.286667
0.412975,0.0591667,0.1975,0.288333
0.41795,0.0608333,0.199167,0.289167
0.422925,0.0608333,0.199167,0.2925
0.4279,0.0616667,0.200833,0.2925
0.432875,0.0625,0.200833,0.2925
0.43785,0.0625,0.203333,0.295833
0.442825,0.0641667,0.205833,0.2975
0.4478,0.065,0.2075,0.298333
0.452775,0.0675,0.2075,0.298333
0.45775,0.0675,0.21,0.3
0.462725,0.0683333,0.2125,0.300833
0.4677,0.0691667,0.213333,0.301667
0.472675,0.0716667,0.213333,0.301667
0.47765,0.0725,0.215,0.3025
0.482625,0.0725,0.216667,0.305
0.4876,0.0741667,0.2175,0.305
0.492575,0.0741667,0.2175,0.305
0.49755,0.0758333,0.2175,0.308333
0.502525,0.0766667,0.219167,0.309167
0.5075,0.0783333,0.22,0.31
0.512475,0.08,0.221667,0.310833
0.51745,0.0808333,0.223333,0.31
0.522425,0.0808333,0.223333,0.31
0.5274,0.0825,0.225833,0.310833
0.532375,0.0841667,0.226667,0.310833
0.53735,0.085,0.226667,0.314167
0.542325,0.0858333,0.226667,0.315833
0.5473,0.0858333,0.2275,0.315833
0.552275,0.0866667,0.23,0.316667
0.55725,0.0875,0.23,0.315833
0.562225,0.0875,0.23,0.316667
0.5672,0.0916667,0.230833,0.315833
0.572175,0.0941667,0.231667,0.315833
0.57715,0.095,0.231667,0.315
0.582125,0.0966667,0.231667,0.315833
0.5871,0.0975,0.2325,0.316667
0.592075,0.0975,0.2325,0.316667
0.59705,0.0975,0.233333,0.315
0.602025,0.0991667,0.234167,0.315
0.607,0.1,0.235833,0.315
0.611975,0.1,0.235833,0.315833
0.61695,0.1,0.235833,0.315833
0.621925,0.1025,0.236667,0.316667
0.6269,0.105,0.236667,0.3175
0.631875,0.105833,0.236667,0.318333
0.63685,0.108333,0.24,0.319167
0.641825,0.109167,0.2425,0.319167
0.6468,0.109167,0.244167,0.32
0.651775,0.11,0.244167,0.323333
0.65675,0.11,0.245833,0.323333
0.661725,0.111667,0.2475,0.325
0.6667,0.113333,0.2475,0.325
0.671675,0.114167,0.25,0.325833
0.67665,0.114167,0.25,0.3275
0.681625,0.115833,0.25,0.325833
0.6866,0.116667,0.250833,0.325833
0.691575,0.1175,0.250833,0.326667
0.69655,0.118333,0.250833,0.325833
0.701525,0.119167,0.251667,0.325833
0.7065,0.120833,0.253333,0.326667
0.711475,0.121667,0.253333,0.3275
0.71645,0.1225,0.253333,0.328333
0.721425,0.1225,0.253333,0.329167
0.7264,0.125,0.255,0.329167
0.731375,0.1275,0.258333,0.331667
0.73635,0.1275,0.2575,0.333333
0.741325,0.1275,0.2575,0.335
0.7463,0.128333,0.258333,0.335833
0.751275,0.129167,0.259167,0.335833
0.75625,0.129167,0.26,0.335833
0.761225,0.129167,0.260833,0.335833
0.7662,0.13,0.260833,0.336667
0.771175,0.131667,0.261667,0.338333
0.77615,0.133333,0.264167,0.340833
0.781125,0.134167,0.265833,0.3425
0.7861,0.135,0.266667,0.341667
0.791075,0.135833,0.2675,0.343333
0.79605,0.135833,0.270833,0.343333
0.801025,0.135833,0.2725,0.343333
0.806,0.138333,0.2725,0.3425
0.810975,0.139167,0.274167,0.341667
0.81595,0.139167,0.275833,0.341667
0.820925,0.140833,0.2775,0.341667
0.8259,0.140833,0.2775,0.343333
0.830875,0.141667,0.278333,0.343333
0.83585,0.141667,0.278333,0.3425
0.840825,0.1425,0.279167,0.3425
0.8458,0.144167,0.28,0.3425
0.850775,0.144167,0.280833,0.3425
0.85575,0.145,0.280833,0.341667
0.860725,0.145833,0.280833,0.341667
0.8657,0.145833,0.280833,0.341667
0.870675,0.146667,0.280833,0.34
0.87565,0.146667,0.280833,0.34
0.880625,0.146667,0.281667,0.340833
0.8856,0.148333,0.281667,0.341667
0.890575,0.148333,0.281667,0.3425
0.89555,0.148333,0.2825,0.3425
0.900525,0.149167,0.2825,0.343333
0.9055,0.150833,0.283333,0.343333
0.910475,0.151667,0.283333,0.343333
0.91545,0.151667,0.284167,0.343333
0.920425,0.151667,0.284167,0.344167
0.9254,0.153333,0.285,0.345
0.930375,0.153333,0.285833,0.345833
0.93535,0.153333,0.2875,0.346667
0.940325,0.154167,0.2875,0.345
0.9453,0.154167,0.2875,0.345
0.950275,0.155,0.2875,0.3475
0.95525,0.155,0.2875,0.3475
0.960225,0.155833,0.289167,0.3475
0.9652,0.156667,0.289167,0.3475
0.970175,0.156667,0.289167,0.3475
0.97515,0.1575,0.29,0.3475
0.980125,0.159167,0.29,0.348333
0.9851,0.159167,0.29,0.3475
0.990075,0.159167,0.290833,0.348333
0.99505,0.159167,0.290833,0.349167
1.00002,0.16,0.290833,0.348333
1.005,0.16,0.290833,0.3475
1.00997,0.160833,0.290833,0.3475
1.01495,0.161667,0.290833,0.346667
1.01992,0.164167,0.290833,0.348333
1.0249,0.164167,0.2925,0.3475
1.02988,0.164167,0.293333,0.346667
1.03485,0.164167,0.293333,0.346667
1.03982,0.164167,0.294167,0.346667
1.0448,0.164167,0.295,0.3475
1.04977,0.164167,0.295,0.3475
1.05475,0.164167,0.296667,0.346667
1.05973,0.165,0.296667,0.346667
1.0647,0.166667,0.296667,0.346667
1.06967,0.1675,0.296667,0.345833
1.07465,0.1675,0.296667,0.345833
1.07963,0.1675,0.296667,0.346667
1.0846,0.168333,0.2975,0.3475
1.08957,0.169167,0.2975,0.3475
1.09455,0.169167,0.298333,0.348333
1.09953,0.169167,0.3,0.35
1.1045,0.169167,0.3,0.35
1.10947,0.169167,0.3,0.349167
1.11445,0.169167,0.300833,0.349167
1.11943,0.169167,0.301667,0.349167
1.1244,0.169167,0.301667,0.349167
1.12938,0.17,0.3025,0.349167
1.13435,0.17,0.3025,0.348333
1.13932,0.1725,0.3025,0.348333
1.1443,0.174167,0.303333,0.349167
1.14928,0.174167,0.304167,0.349167
1.15425,0.174167,0.304167,0.35
1.15922,0.175833,0.304167,0.349167
1.1642,0.175833,0.305,0.35
1.16918,0.175833,0.305,0.351667
1.17415,0.175833,0.305833,0.351667
1.17912,0.176667,0.306667,0.350833
1.1841,0.1775,0.306667,0.351667
1.18908,0.178333,0.306667,0.3525
1.19405,0.178333,0.306667,0.3525
1.19903,0.179167,0.306667,0.3525
1.204,0.179167,0.305833,0.3525
