I,Q
0.942585,-1.00302
-0.282013,0.894924
0.317891,0.35347
-0.947003,-0.975015
0.339354,0.326263
0.422462,0.334814
-0.26518,0.987854
-0.955075,0.931843
-0.983041,-0.883262
-0.36302,-0.449846
-0.98732,-0.974762
-1.04945,-0.313709
-0.993415,-0.949342
-0.957917,0.914711
-0.319915,-0.905771
-0.297382,0.278764
0.386343,0.356523
-0.965445,0.349856
1.00926,0.318552
0.934428,1.00623
0.88297,0.309674
0.925135,0.319841
-0.232564,-0.949195
-0.968964,-0.331991
0.918335,-1.0285
-0.998089,-0.908826
-0.893448,0.249949
0.900096,-0.870205
0.324165,-0.324323
1.01959,0.849001
0.977081,0.31552
-0.290448,0.256351
-0.892846,-0.288361
-0.388014,-0.954385
-0.901633,-0.32717
-0.969579,-0.368644
0.309485,0.893636
0.353533,-0.32035
0.953476,-0.95202
-0.947741,0.373315
-0.956576,0.382612
-0.893575,-0.926155
-0.309597,-0.313277
0.955029,0.223606
-0.899153,-0.959991
0.995187,-0.266683
0.279133,-0.314096
1.04892,0.942595
-0.277437,0.805855
1.01595,-0.329449
0.291494,0.295629
0.919674,1.02884
0.99444,0.973242
-1.01074,-0.288156
-0.288625,-0.95554
0.90241,0.266779
-0.351443,0.994571
0.297059,0.3764
-0.966554,-0.333098
-0.3387,0.934985
-0.25634,0.343598
-0.281353,-0.250116
0.233467,0.993537
-0.312718,0.264832
-0.865834,-0.912771
0.324112,0.941278
0.222899,0.977513
1.07221,-0.276209
-0.413859,0.264203
-1.05536,-0.366761
-0.956445,0.302925
-0.889982,0.361482
-0.846737,0.923685
-0.369878,-0.300016
-0.933167,-1.05494
-0.323945,-0.256238
1.0272,0.928918
0.369041,0.989392
0.328578,-0.928492
-0.315817,-0.959659
0.24273,0.960069
1.02096,-0.272422
-0.357638,0.877653
-0.348663,-0.331768
0.923881,0.274716
-0.836351,0.823947
-0.303523,-0.329542
0.858336,0.990306
-0.316767,-0.973226
0.329021,-0.864388
-0.325475,-0.327426
-0.363636,-0.934219
0.291474,-1.02752
-0.303989,0.967369
-0.849593,0.2874
-0.937056,-0.388116
0.303025,0.885854
0.993357,-0.291325
-0.98642,-0.907987
0.986503,0.357061
-0.954646,0.95102
0.348636,-0.375331
-0.381497,0.917181
-0.33177,0.300968
-0.296032,0.955967
0.941185,0.318111
0.311179,-0.946174
-0.353489,-0.314584
0.280175,0.342917
-0.329764,-0.989342
0.356275,-0.406347
0.988629,0.36786
-0.325333,-0.287492
-0.395109,0.93503
0.864816,0.284943
-0.309006,-0.390868
0.96958,-0.912766
0.277867,-1.0604
0.896639,0.976052
-0.397943,-0.891887
0.379608,-0.946852
-0.260148,-0.388823
0.872754,0.321472
-0.303257,-0.342048
-0.352195,-0.38667
-0.325148,-0.394424
0.952826,0.927496
-0.294713,-1.04906
-0.927318,0.311816
-0.919085,-0.939122
-0.933852,-0.884434
-0.984132,0.302487
-0.888721,-0.895953
0.921363,0.26163
-0.335146,-0.340648
-0.335381,-0.945205
0.310179,-0.944929
0.942474,0.98667
0.966447,-0.258333
0.886478,-0.945131
0.368797,-0.191843
0.977457,1.04731
0.355578,-0.223894
-0.943015,-1.09492
0.317421,0.923354
0.423673,0.366347
-0.952495,-0.238379
-0.322648,-0.852502
0.897832,0.996597
-0.303852,-1.03794
0.34239,0.245212
0.964531,0.937984
0.34296,-0.939392
-0.930025,-0.350974
1.00971,0.279412
-0.909042,-1.04036
-0.245952,-0.318108
0.937875,-0.326718
0.255963,0.853845
-0.341645,-0.307485
0.859494,0.957576
-0.885177,-0.930997
0.954659,0.349143
-0.324599,-0.30596
-0.96668,0.325452
0.404195,-0.358125
-0.920163,0.349374
-0.950323,-0.900619
0.391242,-0.997678
0.946537,0.275612
-0.369891,1.01935
-0.320164,-0.501493
-0.324554,0.91063
0.965233,0.249814
-1.03887,0.374855
-0.370128,0.331595
-0.971132,1.00572
0.425562,-0.33132
0.288644,-0.890729
-0.99342,0.927809
0.886699,1.0045
0.353064,0.325178
0.862357,0.954734
0.970149,1.00188
-1.00875,-0.956007
-0.894231,0.979332
-0.998382,-0.374779
0.901756,0.987043
-0.349086,-0.958448
-0.412116,-0.234287
-0.995722,-1.01701
0.267293,-0.830234
-0.8972,-0.302667
-0.310951,0.246399
-0.90965,-0.290776
0.377558,-0.247668
0.849518,-0.296641
0.863512,-0.338206
0.338028,0.214935
0.875555,-0.288273
0.97199,0.927609
-0.873297,-0.894556
-0.341367,0.413608
0.292364,-0.307473
0.907827,-0.976525
-0.938299,-0.904872
0.98108,0.405435
-1.01757,0.933484
0.270243,0.907759
0.344303,-0.31763
-0.28275,-0.349719
-0.312039,-0.289971
-0.94841,0.894048
0.896713,0.949372
-0.36906,-0.869918
-0.267739,0.969274
-0.962732,-0.356084
-0.286008,0.39804
0.300984,-0.964478
-0.911243,-0.299629
1.01306,0.897683
-0.349877,0.361342
0.282398,-0.92345
-0.334068,-0.874917
-0.32342,0.329439
